Title,clean_synopsis
xXx,xander cage standard adrenaline junkie fear lousy attitude u government recruit go mission exactly thrilled mission gather information organization may planning destruction world led nihilistic yorgi
Indiana Jones and the Kingdom of the Crystal Skull,set cold war soviet led sword wielding irina spalko search crystal skull supernatural power related mystical lost city gold indy coerced head peru behest young man whose friend indy colleague professor oxley captured knowledge skull whereabouts
Life of Pi,story indian boy named pi zookeeper son find company hyena zebra orangutan bengal tiger shipwreck set adrift pacific ocean
Ben-Hur,ad judah ben hur jew ancient judea opposes occupying roman empire falsely accused roman childhood friend turned overlord trying kill roman governor put slavery mother sister taken away prisoner
The Matrix Revolutions,human city zion defends massive invasion machine neo fight end war another front also opposing rogue agent smith
Norbert,norbert incompetent spy sad bureaucratic grey nation become key player thwart plan government exciting quest see travel alongside strange companion
Wallace & Gromit: Vengeance Most Fowl,gromit concern wallace becoming dependent invention prof justified wallace invents smart gnome seems develop mind emerges vengeful figure past might masterminding thing fall gromit battle sinister force save master wallace may never able invent
Lilo & Stitch,wildly funny touching story lonely hawaiian girl fugitive alien help mend broken family
Journey 2: The Mysterious Island,sean anderson partner mom boyfriend mission find grandfather thought missing mythical island
The Angry Birds Movie 2,red chuck bomb rest feathered friend surprised green pig suggests put aside difference unite fight common threat aggressive bird island covered ice planning use elaborate weapon destroy fowl swine
Big Hero 6,special bond develops plus sized inflatable robot baymax prodigy hiro hamada team group friend form band high tech hero
The Secret Life of Pets 2,max terrier must cope major life change owner get married baby family take trip countryside nervous max numerous run in canine intolerant cow hostile fox scary turkey luckily max soon catch break meet rooster gruff farm dog try cure lovable pooch neurosis
Dragons: Gift of the Night Fury,hiccup toothless go exciting adventure discover island new dragon
Robin Hood: Prince of Thieves,nobleman crusader robin locksley break jerusalem prison help moorish fellow prisoner azeem travel back home england upon arrival discovers dead father ruin family estate killed vicious sheriff nottingham robin azeem join force outlaw little john scarlett save kingdom sheriff villainy
Mission: Impossible - Fallout,imf mission end badly world faced dire consequence ethan hunt take upon fulfill original briefing cia begin question loyalty motif imf team find race time hunted assassin trying prevent global catastrophe
Spider-Man: Into the Spider-Verse,struggling find place world juggling school family brooklyn teenager mile morale unexpectedly bitten radioactive spider develops unfathomable power like one spider man wrestling implication new ability mile discovers super collider created madman wilson kingpin fisk causing others across spider verse inadvertently transported dimension
